Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB
1000000000.0,1.0,4.4,1.6,91.22393989806672,71.26286586867181,72.75184182238495,0.744487976856569,4.2451538013602255,0.0009692854963392685,0.000565315076551174,325.8176810518471,3.0589749829276442,18.187960455596237,80.8628658686718,100.82393989806673,-2.687102112934172
1100000000.0,1.1,4.4,1.6,82.93085445278793,64.75336468792887,66.24157790081549,0.7441066064433113,4.231893271820067,0.0009692854963392679,0.0005642104525419896,326.0523774873801,3.0589749829276442,16.56039447520387,74.35336468792886,92.53085445278793,-2.6851369379419054
1200000000.0,1.2,4.4,1.6,76.0199499150556,59.32694421863039,60.814385868242425,0.7437208248060216,4.218968391339794,0.0009692854963392683,0.000563128026681322,326.28268576906953,3.0589749829276442,15.203596467060606,68.92694421863038,85.6199499150556,-2.6832113205768637
1300000000.0,1.3,4.4,1.6,70.17226146005133,54.733729792560354,56.22039146137995,0.7433308344097991,4.206365234883029,0.0009692854963392683,0.0005620670239844599,326.5087518152253,3.0589749829276442,14.055097865344987,64.33372979256036,79.77226146005133,-2.6813238781467215
1400000000.0,1.4,4.4,1.6,65.15995707004767,50.79523631227382,52.28110996767801,0.742936827702095,4.194070673008741,0.0009692854963392685,0.0005610267079892285,326.7307145468402,3.0589749829276442,13.070277491919503,60.39523631227382,74.75995707004766,-2.679473296752723
1500000000.0,1.5,4.4,1.6,60.815959932044485,47.3805719229062,48.865649898388156,0.7425389877409783,4.182072314366311,0.0009692854963392683,0.0005600063782796671,326.9487063250033,3.0589749829276442,12.216412474597039,56.9805719229062,70.41595993204449,-2.6776583268641767
1600000000.0,1.6,4.4,1.6,57.0149624362917,44.39156529240015,45.875840269950345,0.7421374887750971,4.170358453190407,0.0009692854963392683,0.0005590053682042443,327.16285335471514,3.0589749829276442,11.468960067487586,53.99156529240015,66.61496243629169,-2.6758777792408166
1700000000.0,1.7,4.4,1.6,53.66114111650983,41.753142074452235,43.23660706801169,0.7417324967797306,4.158918021289889,0.0009692854963392683,0.0005580230427706075,327.3732760581584,3.0589749829276442,10.809151767002923,51.35314207445224,63.26114111650983,-2.674130521170838
1800000000.0,1.8,4.4,1.6,50.67996661003707,39.40690920643686,40.88955754634257,0.7413241699528587,4.147740544083126,0.0009692854963392679,0.0005570587967007868,327.58008942015215,3.0589749829276442,10.222389386585643,49.00690920643685,60.279966610037064,-2.6724154729958305
1900000000.0,1.9,4.4,1.6,48.0125999463509,37.30676520929445,38.78859052764401,0.740912659174779,4.136816100282757,0.0009692854963392679,0.0005561120526324507,327.78340330824153,3.0589749829276442,9.697147631911003,46.90676520929445,57.6125999463509,-2.6707316048968543
