Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB
2000000000.0,2.0,4.4,1.6,45.61196994903336,35.41582738948395,36.89682360635282,0.740498108434435,4.126135284877205,0.0009692854963392685,0.0005551822594532901,327.98332276962725,3.0589749829276442,9.224205901588205,45.01582738948395,55.21196994903337,-2.6690779339185133
2100000000.0,2.1,4.4,1.6,43.43997138003177,33.704236976317176,35.184398286767795,0.7400806552253087,4.115689175095005,0.0009692854963392679,0.0005542688907569252,328.17994830691356,3.0589749829276442,8.796099571691949,43.30423697631718,53.03997138003177,-2.667453521210305
2200000000.0,2.2,4.4,1.6,41.46542722639396,32.14756285217639,33.62688371400329,0.7396604309134511,4.105469299071987,0.0009692854963392679,0.0005533714434098864,328.3733761344634,3.0589749829276442,8.406720928500823,41.74756285217639,51.06542722639397,-2.6658574694665287
2300000000.0,2.3,4.4,1.6,39.662582564376834,30.725621695668263,32.20409681782819,0.7392375610799619,4.095467606971285,0.0009692854963392683,0.0005524894362202543,328.56369841697534,3.0589749829276442,8.051024204457047,40.32562169566827,49.262582564376835,-2.6642889205479072
2400000000.0,2.4,4.4,1.6,38.0099749575278,29.421593084370507,30.899217416050558,0.7388121658400267,4.085676444332395,0.0009692854963392683,0.0005516224086994595,328.75100349173886,3.0589749829276442,7.724804354012639,39.0215930843705,47.609974957527804,-2.6627470532697455
2500000000.0,2.5,4.4,1.6,36.489575959226684,28.221346968856224,29.698115689137033,0.738384360140403,4.076088527448792,0.0009692854963392679,0.000550769919909556,328.93537607588974,3.0589749829276442,7.424528922284258,37.821346968856226,46.08957595922669,-2.661231081342876
2600000000.0,2.6,4.4,1.6,35.086130730025666,27.112926341436935,28.588834849511098,0.7379542540370803,4.066696920594111,0.0009692854963392683,0.000549931547389017,329.11689745986416,3.0589749829276442,7.1472087123777746,36.71292634143694,44.68613073002567,-2.6597402514549238
2700000000.0,2.7,4.4,1.6,33.78664440669138,26.08614486423747,27.561188770146828,0.7375219529546799,4.057495014935073,0.0009692854963392683,0.0005491068861507415,329.29564568813936,3.0589749829276442,6.890297192536707,35.68614486423747,43.386644406691374,-2.65827384148066
2800000000.0,2.8,4.4,1.6,32.579978535023834,25.13227071701611,26.60644583287413,0.7370875579290106,4.048476508985489,0.0009692854963392685,0.0005482955477465518,329.4716957282478,3.0589749829276442,6.651611458218532,34.73227071701611,42.179978535023835,-2.656831158811171
2900000000.0,2.9,4.4,1.6,31.456530999333356,24.243775853282774,25.717078184950935,0.7366511658340797,4.0396353904699716,0.0009692854963392683,0.000547497159392977,329.64511962896813,3.0589749829276442,6.429269546237734,33.84377585328277,41.05653099933336,-2.6554115387925474
3000000000.0,3.0,4.4,1.6,30.407979966022243,23.41413540296839,24.886561142157863,0.7362128695947361,4.030965919478748,0.0009692854963392683,0.0005467113631535895,329.8159866685104,3.0589749829276442,6.221640285539466,33.01413540296839,40.00797996602225,-2.654014343265657
3100000000.0,3.1,4.4,1.6,29.427077386473133,22.6376658983975,24.109211415169543,0.7357727583860212,4.022462612806368,0.0009692854963392679,0.0005459378151735748,329.98436349344803,3.0589749829276442,6.027302853792386,32.2376658983975,39.02707738647314,-2.652638959199231
3200000000.0,3.2,4.4,1.6,28.50748121814585,21.90939383111374,23.380055666754167,0.7353309178202135,4.014120229377168,0.0009692854963392683,0.000545176184962604,330.1503142490779,3.0589749829276442,5.845013916688542,31.509393831113744,38.10748121814585,-2.651284797409283
3300000000.0,3.3,4.4,1.6,27.643618150929314,21.224948105871036,22.69472296611596,0.7348874301224642,4.005933756669515,0.0009692854963392685,0.0005444261547224092,330.31390070183653,3.0589749829276442,5.67368074152899,30.824948105871034,37.243618150929315,-2.6499512913583767
3400000000.0,3.4,4.4,1.6,26.830570558254916,20.580471471901266,22.049356220492964,0.7344423742958482,3.9978983980589198,0.0009692854963392683,0.0005436874187157762,330.47518235434455,3.0589749829276442,5.512339055123241,30.180471471901267,36.430570558254914,-2.648637896028929
3500000000.0,3.5,4.4,1.6,26.063982828019064,19.972547136105593,21.440538788658763,0.7339958262765854,3.990009561007417,0.0009692854963392685,0.000542959682673944,330.63421655360526,3.0589749829276442,5.360134697164691,29.572547136105594,35.663982828019066,-2.6473440868651004
3600000000.0,3.6,4.4,1.6,25.339983305018535,19.39813760621993,20.86523332438019,0.7335478590801284,3.9822628460331337,0.0009692854963392679,0.000542242663239651,330.79105859284147,3.0589749829276442,5.216308331095047,28.99813760621993,34.93998330501853,-2.646069358778393
3700000000.0,3.7,4.4,1.6,24.655118891369387,18.854533450257055,20.32073053613454,0.7330985429387449,3.9746540363998757,0.0009692854963392683,0.0005415360874433003,330.94576180741007,3.0589749829276442,5.080182634033635,28.454533450257056,34.25511889136939,-2.6448132252124097
3800000000.0,3.8,4.4,1.6,24.00629997317545,18.33931014561528,19.804606036477665,0.7326479454311932,3.9671790884718234,0.0009692854963392679,0.0005408396922099157,331.0983776652073,3.0589749829276442,4.951151509119416,27.939310145615277,33.606299973175446,-2.64357521726261
3900000000.0,3.9,4.4,1.6,23.39075382001711,17.85029156592745,19.31468382913748,0.7321961316050164,3.9598341226832305,0.0009692854963392685,0.0005401532238947584,331.2489558519334,3.0589749829276442,4.82867095728437,27.45029156592745,32.990753820017105,-2.6423548828472816
4000000000.0,4.0,4.4,1.6,22.80598497451668,17.38551894410376,18.849005272287688,0.7317431640919617,3.952615415077302,0.0009692854963392685,0.0005394764378456308,331.39754435156954,3.0589749829276442,4.712251318071922,26.985518944103763,32.405984974516684,-2.6411517859261693
4100000000.0,4.1,4.4,1.6,22.249741438552856,16.943224376660837,18.405802583094793,0.7312891032169782,3.945519389372344,0.0009692854963392679,0.0005388090979900595,331.54418952238046,3.0589749829276442,4.601450645773698,26.543224376660838,31.84974143855286,-2.639965505763552
4200000000.0,4.2,4.4,1.6,21.719985690015886,16.52180811250292,17.98347612670535,0.7308340071012166,3.9385426095167797,0.0009692854963392679,0.0005381509764456938,331.68893616873885,3.0589749829276442,4.495869031676338,26.12180811250292,31.319985690015887,-2.6387956362327865
4300000000.0,4.3,4.4,1.6,21.214869743736443,16.119819010124022,17.58057487364287,0.7303779317594237,3.9316817726978286,0.0009692854963392679,0.0005375018531523664,331.83182760904646,3.0589749829276442,4.395143718410718,25.719819010124024,30.814869743736445,-2.6376417851595306
4400000000.0,4.4,4.4,1.6,20.73271361319698,15.735937659202094,17.195779521586275,0.7299209311920903,3.9249337027715416,0.0009692854963392679,0.0005368615155244051,331.9729057399988,3.0589749829276442,4.298944880396569,25.335937659202095,30.332713613196983,-2.636503573701154
4500000000.0,4.5,4.4,1.6,20.271986644014827,15.368961752158667,16.827887867104046,0.7294630574726889,3.918295344084495,0.0009692854963392683,0.0005362297581218744,332.11221109743,3.0589749829276442,4.2069719667760115,24.968961752158666,29.87198664401483,-2.635380635759945
4600000000.0,4.6,4.4,1.6,19.831291282188417,15.017793363329174,16.47580208498979,0.7290043608303087,3.9117637556598575,0.0009692854963392683,0.0005356063823395293,332.24978291395206,3.0589749829276442,4.118950521247448,24.617793363329174,29.43129128218842,-2.6342726174279534
4700000000.0,4.7,4.4,1.6,19.40934891448228,14.681427851659791,16.13851763111575,0.7285448897279799,3.905336105722692,0.0009692854963392683,0.0005349911961123584,332.3856591735889,3.0589749829276442,4.0346294077789375,24.281427851659792,29.00934891448228,-2.633179176461456
4800000000.0,4.8,4.4,1.6,19.0049874787639,14.358944150192194,15.815113532066091,0.7280846909369484,3.8990096665413554,0.0009692854963392683,0.0005343840136366636,332.51987666359156,3.0589749829276442,3.9537783830165227,23.958944150192195,28.604987478763903,-2.6320999817831754
4900000000.0,4.9,4.4,1.6,18.61713059144219,14.049496244246711,15.504743863461016,0.727623809607152,3.8927818095636413,0.0009692854963392685,0.0005337846551057199,332.65247102360524,3.0589749829276442,3.876185965865254,23.649496244246713,28.21713059144219,-2.631034713010531
5000000000.0,5.0,4.4,1.6,18.244787979613342,13.752305671907394,15.206630250575648,0.7271622893341273,3.8866500008279776,0.0009692854963392679,0.0005331929464591025,332.78347679235156,3.0589749829276442,3.801657562643912,23.352305671907395,27.844787979613344,-2.629983060008284
5100000000.0,5.1,4.4,1.6,17.88704703883661,13.466654906512067,14.920055250957187,0.7267001722225602,3.880611796631472,0.0009692854963392679,0.0005326087191448558,332.91292745197035,3.0589749829276442,3.7300138127392968,23.066654906512067,27.48704703883661,-2.62894472246414
5200000000.0,5.2,4.4,1.6,17.543065365012833,13.191881502433475,14.64435650032684,0.7262374989466829,3.8746648394379983,0.0009692854963392683,0.000532031809893722,333.04085547016587,3.0589749829276442,3.66108912508171,22.791881502433476,27.143065365012834,-2.6279194094858527
5300000000.0,5.3,4.4,1.6,17.212064131710704,12.927372903355423,14.378921520970815,0.7257743088076961,3.868806854010751,0.0009692854963392683,0.0005314620605047093,333.16729234028105,3.0589749829276442,3.5947303802427037,22.52737290335542,26.812064131710706,-2.6269068392186004
5400000000.0,5.4,4.4,1.6,16.89332220334569,12.672561827179486,14.123183106756281,0.725310639788398,3.863035643754866,0.0009692854963392683,0.0005308993176413254,333.29226861942357,3.0589749829276442,3.5307957766890703,22.272561827179487,26.49332220334569,-2.62590673848139
5500000000.0,5.5,4.4,1.6,16.586170890557586,12.426922154186226,13.876615211396574,0.7248465286051737,3.857349087256747,0.0009692854963392683,0.0005303434326378509,333.41581396475505,3.0589749829276442,3.4691538028491435,22.026922154186227,26.186170890557587,-2.624918842421389
5600000000.0,5.6,4.4,1.6,16.289989267511917,12.189965255556274,13.638729277071276,0.7243820107575009,3.8517451350077283,0.0009692854963392685,0.0005297942613150676,333.5379571680482,3.0589749829276442,3.409682319267819,21.789965255556275,25.88998926751192,-2.6239428941851477
5700000000.0,5.7,4.4,1.6,16.004199982116972,11.961236708183147,13.409070949333366,0.7239171205751092,3.846221806300566,0.0009692854963392683,0.0005292516638048952,333.6587261886109,3.0589749829276442,3.3522677373333414,21.56123670818315,25.604199982116974,-2.622978644605703
5800000000.0,5.8,4.4,1.6,15.728265499666678,11.74031334916662,13.187217131692472,0.7234518912629263,3.840777186288097,0.0009692854963392683,0.000528715504383429,333.7781481846671,3.0589749829276442,3.296804282923118,21.340313349166617,25.328265499666678,-2.6220258519047084
5900000000.0,5.9,4.4,1.6,15.461684728485887,11.526800629694879,12.97277333958275,0.7229863549439346,3.8354094231941396,0.0009692854963392685,0.000528185651311903,333.8962495432817,3.0589749829276442,3.2431933348956874,21.12680062969488,25.061684728485886,-2.6210842814086903
6000000000.0,6.0,4.4,1.6,15.203989983011121,11.320330233395447,12.765371318795548,0.7225205427000503,3.830116725667414,0.0009692854963392683,0.0005276619766851327,334.01305590890945,3.0589749829276442,3.191342829698887,20.92033023339545,24.80398998301112,-2.620153705278661
